Jugador: wa | estado final: No termino | puntaje: 0
Jugador: wa | estado final: No termino | puntaje: 0
Jugador: a | estado final: No termino | puntaje: 0
Jugador: wa | estado final: No termino | puntaje: 0
Jugador: wacz | estado final: No termino | puntaje: 49
Jugador: adw | estado final: No termino | puntaje: 88
Jugador: ddddd | estado final: termino | puntaje: 67
